segment_id,route,km_marker,rail_temperature_c,vibration_level,track_stress_nm,wear_index_min,track_age_years,traffic_load_trains_per_day,last_inspection_days_ago,defect_detected,infra_risk_score,risk_level
SEG-00024,TVC-LTT,37.5,48.5,3.43,25.7,68,10,143,74,0,29.0,Safe
SEG-00025,MAS-NZM-2,148.2,41.6,2.29,37.3,70,37,153,238,0,44.3,Warning
SEG-00026,MAS-NZM,158.3,48.0,4.03,23.3,73,27,190,300,0,42.9,Warning
SEG-00027,TVC-LTT,256.8,36.4,2.0,39.0,75,1,196,108,0,27.4,Safe
SEG-00028,MAS-SBC,294.0,46.1,3.74,24.6,77,5,28,13,0,26.7,Safe
SEG-00029,ERS-MAS,190.7,42.4,1.58,44.2,82,13,147,234,0,36.4,Warning
SEG-00030,MAS-NZM-2,30.4,31.8,3.06,30.1,84,3,120,245,0,32.7,Warning
SEG-00031,TVC-LTT,82.9,39.1,1.0,48.2,86,17,184,321,0,40.2,Warning
SEG-00032,MAS-NZM,57.7,34.5,3.67,25.5,89,19,35,92,0,35.1,Warning
SEG-00033,MAS-NZM,43.6,38.0,1.46,48.3,91,37,23,360,0,50.6,Warning
SEG-00034,HYB-MAS,128.1,38.4,2.89,32.5,93,5,51,198,0,33.2,Warning
SEG-00035,HYB-MAS,80.3,40.1,2.28,34.7,95,24,103,116,0,37.1,Warning
SEG-00036,MAS-CBE,76.4,42.7,1.65,48.6,98,33,112,131,0,44.0,Warning
SEG-00037,MAS-SBC,19.1,42.2,2.4,36.7,101,21,147,153,0,38.5,Warning
SEG-00038,TVC-LTT,6.2,31.4,1.58,39.2,104,3,36,121,0,29.6,Safe
SEG-00039,TVC-LTT,36.0,45.8,1.23,50.7,106,4,60,108,0,32.6,Warning
SEG-00040,MAS-CBE,60.3,49.6,1.06,52.5,111,32,64,16,0,41.1,Warning
SEG-00041,ERS-MAS,150.8,37.6,1.13,45.4,113,24,35,299,0,43.8,Warning
SEG-00042,ERS-MAS,178.7,34.2,1.16,50.8,115,35,39,56,0,43.4,Warning
SEG-00043,MAS-CBE,49.2,41.5,1.16,49.1,117,18,61,103,0,37.9,Warning
SEG-00044,ERS-MAS,148.7,44.7,1.19,48.5,120,3,29,208,0,35.2,Warning
SEG-00045,HYB-MAS,119.6,44.2,1.77,47.5,125,39,71,151,0,49.0,Warning
SEG-00046,TVC-LTT,64.2,42.9,1.87,49.1,128,26,195,262,0,48.2,Warning
SEG-00047,MAS-CBE,2.4,33.5,3.93,25.8,130,24,170,43,0,39.8,Warning
SEG-00048,TVC-LTT,163.5,47.4,1.46,46.3,133,1,52,300,0,38.1,Warning
SEG-00049,MAS-NZM,240.0,39.2,1.5,53.9,135,34,146,118,0,48.4,Warning
SEG-00050,HYB-MAS,79.2,35.2,1.42,44.1,140,12,172,336,0,42.9,Warning
SEG-00051,MAS-NZM-2,46.1,32.5,9.85,4.6,143,17,69,279,1,80.1,Critical
SEG-00052,HYB-MAS,310.5,39.1,1.25,54.9,145,21,120,144,0,44.6,Warning
SEG-00053,MAS-CBE,96.3,43.0,1.92,43.8,147,21,119,228,0,45.2,Warning
SEG-00054,MAS-NZM-2,78.3,43.9,2.31,35.1,152,3,107,204,0,36.4,Warning
SEG-00055,MAS-NZM,300.0,49.8,3.04,30.1,154,28,98,229,0,47.1,Warning
SEG-00056,MAS-CBE,286.0,33.7,2.0,40.7,156,25,117,265,0,47.6,Warning
SEG-00057,MAS-SBC,156.9,50.4,1.8,42.4,158,6,87,137,0,37.1,Warning
SEG-00058,TVC-LTT,171.2,43.7,2.01,40.3,160,30,97,240,0,49.0,Warning
SEG-00059,MAS-NZM,76.2,39.7,2.87,29.5,162,32,151,186,0,47.3,Warning
SEG-00060,TVC-LTT,27.4,48.4,1.22,54.4,165,22,47,315,0,51.0,Warning
SEG-00061,ERS-MAS,200.7,44.5,1.31,52.6,167,38,48,151,0,52.3,Warning
SEG-00062,MAS-SBC,34.4,37.6,2.47,38.2,169,14,101,325,0,46.7,Warning
SEG-00063,MAS-SBC,157.2,48.3,3.85,22.9,172,34,141,291,0,52.4,Warning
SEG-00064,MAS-NZM,329.2,44.1,3.75,25.9,174,26,195,353,0,52.0,Warning
SEG-00065,MAS-SBC,333.5,44.8,2.07,38.6,177,13,124,110,0,40.0,Warning
SEG-00066,MAS-NZM-2,83.8,48.8,1.32,45.1,179,30,91,40,0,44.6,Warning
SEG-00067,MAS-SBC,218.4,39.7,2.97,28.7,181,19,129,142,0,42.8,Warning
SEG-00068,TVC-LTT,165.9,43.8,1.73,44.1,184,39,132,340,0,57.5,High
SEG-00069,TVC-LTT,306.5,45.5,2.09,32.4,189,3,160,13,0,32.5,Warning
SEG-00070,MAS-CBE,95.0,39.8,1.41,65.7,191,31,62,53,1,78.7,Critical
SEG-00071,TVC-LTT,1.3,32.4,4.4,22.6,193,12,28,80,0,41.6,Warning
SEG-00072,MAS-CBE,56.9,46.2,1.65,45.5,196,15,59,233,0,46.8,Warning
SEG-00073,TVC-LTT,122.3,31.7,1.17,44.4,198,38,65,351,0,57.0,High
SEG-00074,MAS-NZM-2,110.5,45.2,2.47,35.0,200,14,77,39,0,40.3,Warning
SEG-00075,MAS-CBE,277.0,49.0,2.52,32.3,202,35,159,227,0,52.7,Warning
SEG-00076,HYB-MAS,238.2,37.6,1.23,46.7,204,16,120,340,0,49.9,Warning
SEG-00077,ERS-MAS,104.8,32.7,1.71,47.9,206,24,44,121,0,48.9,Warning
SEG-00078,MAS-NZM,160.2,35.3,1.67,41.3,208,17,108,65,1,67.5,High
SEG-00079,TVC-LTT,33.4,41.9,1.34,51.5,0,18,163,296,0,35.3,Warning
SEG-00080,MAS-SBC,314.4,49.5,1.36,37.9,2,17,198,205,0,27.9,Safe
SEG-00081,TVC-LTT,327.4,40.9,1.61,49.9,4,16,143,135,0,30.7,Warning
SEG-00082,MAS-SBC,342.9,33.0,1.64,47.5,9,21,118,45,0,29.7,Safe
SEG-00083,ERS-MAS,304.0,43.3,1.66,40.8,11,24,199,278,0,35.2,Warning
SEG-00084,ERS-MAS,60.9,45.5,1.75,40.1,13,34,143,135,0,35.2,Warning
SEG-00085,ERS-MAS,16.2,38.6,1.48,47.6,15,36,43,52,0,35.6,Warning
SEG-00086,MAS-SBC,202.9,45.3,3.7,26.8,17,27,126,229,0,36.7,Warning
SEG-00087,TVC-LTT,319.4,37.3,1.56,43.9,20,39,33,356,0,44.4,Warning
SEG-00088,ERS-MAS,62.1,46.6,2.19,31.8,25,17,41,68,0,26.4,Safe
SEG-00089,MAS-NZM-2,2.5,37.7,1.46,45.2,27,25,147,198,0,35.5,Warning
SEG-00090,MAS-CBE,281.9,35.9,1.86,39.5,30,38,50,67,0,36.3,Warning
SEG-00091,MAS-SBC,26.9,48.3,3.41,25.8,33,21,104,3,0,28.4,Safe
SEG-00092,MAS-SBC,144.8,41.7,3.85,24.9,35,4,77,58,0,24.7,Safe
SEG-00093,TVC-LTT,237.6,36.5,3.25,27.1,37,25,88,256,0,37.1,Warning
SEG-00094,MAS-SBC,82.9,49.7,1.64,43.0,40,30,166,356,0,42.5,Warning
SEG-00095,MAS-SBC,29.4,44.7,2.64,31.9,42,33,125,265,0,40.5,Warning
SEG-00096,ERS-MAS,269.5,35.3,1.07,52.2,44,39,104,16,0,38.4,Warning
SEG-00097,TVC-LTT,220.6,43.1,2.37,35.3,47,26,21,268,0,38.7,Warning
SEG-00098,ERS-MAS,346.0,48.2,3.39,29.9,50,25,66,102,0,35.3,Warning
SEG-00099,MAS-CBE,120.5,44.7,2.1,32.7,53,16,134,287,0,34.3,Warning
SEG-00100,MAS-CBE,21.6,35.5,2.07,44.4,55,24,72,222,0,39.6,Warning
SEG-00101,ERS-MAS,257.0,43.6,3.98,25.0,57,5,44,21,0,26.2,Safe
SEG-00102,MAS-CBE,182.6,43.0,4.79,20.7,59,39,54,21,0,40.0,Warning
SEG-00103,TVC-LTT,74.6,47.1,2.25,40.6,61,13,176,92,0,31.6,Warning
SEG-00104,MAS-NZM,273.6,34.2,1.59,40.5,63,30,106,284,0,41.4,Warning
SEG-00105,ERS-MAS,71.3,44.6,1.64,43.4,66,7,129,133,0,30.0,Safe
SEG-00106,MAS-NZM-2,91.2,31.2,2.46,31.1,68,17,164,327,0,37.5,Warning
SEG-00107,MAS-NZM-2,32.4,44.6,1.61,48.5,70,27,99,329,0,44.9,Warning
SEG-00108,MAS-SBC,139.8,49.9,1.92,46.8,72,35,196,175,0,44.1,Warning
SEG-00109,MAS-CBE,146.6,34.2,2.64,32.7,75,5,150,213,0,31.5,Warning
SEG-00110,MAS-NZM-2,180.1,37.0,2.35,34.1,80,5,41,148,0,29.7,Safe
SEG-00111,MAS-SBC,248.1,42.3,4.1,22.5,82,24,161,232,0,40.6,Warning
SEG-00112,MAS-NZM,317.1,45.2,1.93,43.5,84,7,150,165,0,33.2,Warning
SEG-00113,TVC-LTT,48.2,37.5,1.92,39.5,89,7,57,314,0,36.3,Warning
SEG-00114,TVC-LTT,19.0,43.9,1.85,41.9,92,14,106,145,0,35.1,Warning
SEG-00115,TVC-LTT,6.5,48.6,2.98,29.4,95,15,40,298,0,39.0,Warning
SEG-00116,MAS-NZM-2,50.3,45.2,1.53,45.7,97,5,198,223,0,34.6,Warning
SEG-00117,MAS-NZM,230.3,45.0,2.31,34.1,99,37,43,353,0,48.7,Warning
SEG-00118,MAS-NZM-2,254.6,38.3,2.51,33.0,101,4,115,62,0,28.7,Safe
SEG-00119,MAS-CBE,275.3,48.9,3.14,28.1,103,30,64,96,0,39.8,Warning
SEG-00120,MAS-NZM-2,85.3,36.1,1.74,40.7,106,20,191,112,0,36.8,Warning
SEG-00121,MAS-NZM,107.1,34.9,1.54,44.7,108,26,66,87,0,39.3,Warning
SEG-00122,MAS-NZM,169.1,38.0,2.27,41.2,110,9,166,255,0,38.7,Warning
SEG-00123,MAS-CBE,22.1,43.9,0.83,50.7,112,30,181,113,0,41.8,Warning
SEG-00124,MAS-NZM,213.9,48.0,2.2,43.4,114,22,150,254,0,44.4,Warning
SEG-00125,MAS-NZM,344.3,33.4,3.25,29.4,116,30,58,348,0,48.5,Warning
SEG-00126,TVC-LTT,126.3,47.0,2.28,32.2,118,20,111,322,0,42.2,Warning
SEG-00127,MAS-CBE,263.5,47.1,0.94,60.5,120,28,94,32,0,43.2,Warning
SEG-00128,HYB-MAS,175.0,42.5,1.43,46.5,122,7,157,64,0,33.0,Warning
SEG-00129,HYB-MAS,44.7,46.1,2.44,38.6,124,4,187,154,0,34.8,Warning
SEG-00130,MAS-NZM,203.8,34.4,2.28,34.3,126,28,21,5,0,37.9,Warning
SEG-00131,HYB-MAS,105.0,34.0,1.78,41.1,128,35,64,330,0,50.4,Warning
SEG-00132,HYB-MAS,12.0,47.9,3.31,27.7,130,33,174,210,0,46.5,Warning
SEG-00133,MAS-NZM,222.2,40.5,1.59,43.2,132,7,72,92,0,33.9,Warning
SEG-00134,HYB-MAS,300.6,35.5,1.53,49.6,135,9,156,222,0,40.4,Warning
SEG-00135,MAS-NZM-2,120.7,44.4,1.17,53.0,138,34,122,190,0,49.3,Warning
SEG-00136,MAS-SBC,136.6,48.5,3.16,28.5,140,39,148,60,0,45.3,Warning
SEG-00137,MAS-CBE,311.9,43.2,1.47,45.7,143,34,180,205,0,48.5,Warning
SEG-00138,MAS-SBC,284.8,37.5,0.75,55.3,148,13,57,212,0,42.3,Warning
SEG-00139,MAS-NZM,250.2,40.3,1.64,49.4,150,29,76,258,0,50.4,Warning
SEG-00140,TVC-LTT,87.1,45.7,0.58,55.8,155,35,180,89,0,47.4,Warning
SEG-00141,MAS-CBE,318.6,32.0,2.0,36.1,157,10,195,236,0,39.7,Warning
SEG-00142,MAS-NZM,54.0,34.9,2.19,35.2,159,30,22,363,0,51.1,Warning
SEG-00143,TVC-LTT,219.4,39.7,3.55,28.2,161,26,51,332,0,50.6,Warning
SEG-00144,MAS-SBC,10.1,42.5,1.39,50.5,164,35,168,196,0,51.7,Warning
SEG-00145,MAS-NZM,225.3,37.2,1.3,42.4,169,28,87,332,0,50.1,Warning
SEG-00146,MAS-CBE,97.0,36.3,2.01,33.6,172,29,164,183,0,45.7,Warning
SEG-00147,MAS-CBE,157.4,31.2,2.58,36.1,174,6,189,251,0,41.7,Warning
SEG-00148,ERS-MAS,120.8,30.9,2.02,40.1,179,3,87,224,0,39.9,Warning
SEG-00149,MAS-NZM-2,60.5,35.7,1.23,48.0,181,29,103,171,0,48.7,Warning
SEG-00150,HYB-MAS,217.7,40.9,1.78,39.9,184,2,31,198,0,38.5,Warning
SEG-00151,TVC-LTT,308.7,41.4,1.48,42.7,186,22,64,249,0,47.6,Warning
SEG-00152,ERS-MAS,335.7,40.1,1.72,37.6,188,27,183,181,0,46.7,Warning
SEG-00153,HYB-MAS,67.3,38.4,2.42,41.0,191,22,99,277,0,51.0,Warning
SEG-00154,HYB-MAS,251.1,35.3,3.97,27.0,194,10,198,275,0,46.5,Warning
SEG-00155,MAS-NZM,232.5,38.3,2.1,36.2,196,19,154,161,0,44.5,Warning
SEG-00156,HYB-MAS,120.2,33.0,4.77,19.8,198,24,180,248,0,51.3,Warning
SEG-00157,MAS-NZM-2,6.7,32.6,1.9,46.0,203,27,67,319,0,55.1,High
SEG-00158,MAS-CBE,241.4,36.2,1.8,43.5,206,36,52,188,0,54.0,Warning
SEG-00159,ERS-MAS,330.9,50.2,1.93,40.0,211,17,103,19,0,41.8,Warning
SEG-00160,HYB-MAS,221.2,36.8,1.76,47.0,214,10,120,244,0,47.5,Warning
SEG-00161,MAS-NZM,152.4,49.0,0.66,60.7,216,17,174,113,1,73.1,High
SEG-00162,MAS-NZM-2,183.8,38.0,1.42,52.3,218,10,66,278,1,74.5,High
SEG-00163,MAS-SBC,69.9,38.9,2.43,35.5,0,10,104,51,0,23.3,Safe
SEG-00164,MAS-CBE,262.7,46.2,1.75,43.8,2,38,62,344,0,42.8,Warning
SEG-00165,MAS-CBE,261.2,32.2,1.58,43.6,5,17,99,123,0,28.5,Safe
SEG-00166,ERS-MAS,50.9,34.0,3.29,26.0,8,26,166,238,0,34.4,Warning
SEG-00167,MAS-CBE,307.3,49.7,2.58,32.6,10,26,157,319,0,36.9,Warning
SEG-00168,HYB-MAS,94.2,40.4,1.69,42.9,15,34,41,62,0,34.1,Warning
SEG-00169,MAS-NZM,343.8,31.1,1.54,62.3,20,4,149,74,1,54.8,Warning
SEG-00170,MAS-CBE,134.0,31.2,0.87,59.1,22,27,127,245,0,40.2,Warning
SEG-00171,MAS-CBE,62.3,48.4,2.57,35.0,24,21,117,32,0,29.1,Safe
SEG-00172,MAS-SBC,123.1,47.5,1.71,50.8,27,36,37,153,0,41.1,Warning
SEG-00173,MAS-SBC,154.1,39.1,4.4,20.8,29,38,147,144,0,39.5,Warning
SEG-00174,TVC-LTT,24.3,33.3,2.46,33.7,32,31,38,15,0,32.2,Warning
SEG-00175,MAS-NZM-2,202.4,46.7,0.8,58.3,35,7,177,304,0,34.8,Warning
SEG-00176,HYB-MAS,209.2,36.5,1.25,43.5,37,34,153,274,0,40.6,Warning
SEG-00177,MAS-CBE,258.6,38.4,2.62,34.7,39,18,46,245,0,35.0,Warning
SEG-00178,MAS-CBE,10.2,43.7,4.77,21.4,41,24,34,279,0,40.2,Warning
SEG-00179,MAS-NZM,189.4,37.1,1.56,50.2,43,13,178,55,0,30.4,Warning
SEG-00180,TVC-LTT,18.5,42.6,0.79,49.8,45,13,191,42,0,27.7,Safe
SEG-00181,MAS-NZM-2,245.4,47.8,1.79,49.9,47,25,157,359,0,44.1,Warning
SEG-00182,TVC-LTT,19.5,46.0,3.82,24.2,49,5,168,52,0,25.6,Safe
SEG-00183,ERS-MAS,319.1,37.6,1.01,48.1,54,39,194,11,0,37.4,Warning
SEG-00184,MAS-NZM-2,245.7,35.7,1.85,40.7,57,29,142,311,0,42.1,Warning
SEG-00185,MAS-CBE,177.6,35.8,2.9,30.6,59,33,114,88,0,37.4,Warning
SEG-00186,MAS-CBE,154.5,37.0,1.62,38.2,61,24,183,227,0,36.7,Warning
SEG-00187,MAS-NZM-2,45.7,39.8,0.77,56.0,63,10,146,114,0,32.1,Warning
SEG-00188,MAS-CBE,101.8,38.4,1.23,43.1,65,25,93,25,0,32.4,Warning
SEG-00189,HYB-MAS,304.1,32.8,2.55,33.6,67,10,77,92,0,29.5,Safe
SEG-00190,MAS-NZM-2,316.6,33.4,2.16,43.4,69,39,166,87,0,42.5,Warning
SEG-00191,TVC-LTT,0.3,36.9,1.8,49.9,72,16,129,81,0,35.1,Warning
SEG-00192,MAS-NZM-2,207.9,41.3,2.9,34.6,74,28,157,250,0,42.5,Warning
SEG-00193,MAS-CBE,251.8,41.9,1.34,51.8,76,12,68,250,0,37.9,Warning
SEG-00194,HYB-MAS,216.6,39.8,2.97,34.6,81,32,80,210,0,43.6,Warning
SEG-00195,HYB-MAS,28.6,44.8,8.79,10.7,86,29,149,9,1,71.7,High
SEG-00196,ERS-MAS,76.2,44.9,1.66,42.9,89,27,94,99,0,38.3,Warning
SEG-00197,TVC-LTT,87.6,38.7,1.54,49.5,91,26,27,36,0,38.2,Warning
SEG-00198,MAS-SBC,291.1,32.7,2.09,40.9,96,3,166,57,0,29.3,Safe
SEG-00199,MAS-SBC,162.1,40.9,2.44,35.0,99,26,161,63,0,37.3,Warning
SEG-00200,MAS-NZM-2,170.4,37.9,1.54,47.1,101,39,41,338,0,51.4,Warning
SEG-00201,ERS-MAS,327.2,33.0,2.57,35.0,103,1,36,276,0,34.5,Warning
SEG-00202,MAS-NZM,223.0,49.8,2.37,41.2,105,35,126,213,0,47.2,Warning
SEG-00203,MAS-NZM-2,314.5,37.6,2.72,35.7,107,27,82,303,0,46.0,Warning
SEG-00204,ERS-MAS,159.8,42.8,1.87,37.9,110,4,141,20,0,28.1,Safe
SEG-00205,TVC-LTT,52.3,40.1,3.34,32.8,112,19,45,247,0,42.7,Warning
SEG-00206,TVC-LTT,325.5,33.2,1.02,53.0,114,22,183,6,0,37.4,Warning
SEG-00207,TVC-LTT,160.5,31.5,2.57,35.3,117,6,136,73,0,32.0,Warning
SEG-00208,TVC-LTT,63.6,42.8,1.47,60.7,119,9,64,107,1,64.7,High
SEG-00209,TVC-LTT,105.8,35.2,2.46,36.7,122,11,49,93,0,35.0,Warning
SEG-00210,ERS-MAS,17.8,35.1,1.8,44.0,124,22,135,285,0,45.1,Warning
SEG-00211,ERS-MAS,163.9,49.4,2.07,36.1,126,9,168,356,0,40.4,Warning
SEG-00212,HYB-MAS,298.6,39.6,2.37,33.9,128,29,167,219,0,44.4,Warning
SEG-00213,MAS-SBC,326.8,30.8,1.02,52.9,130,10,189,49,0,35.3,Warning
SEG-00214,MAS-CBE,326.4,37.0,1.27,44.9,135,34,109,364,0,51.3,Warning
SEG-00215,TVC-LTT,43.8,41.8,2.45,37.1,137,31,138,295,0,49.3,Warning
SEG-00216,MAS-NZM,133.7,36.7,2.21,40.3,140,22,159,288,0,46.4,Warning
SEG-00217,MAS-CBE,9.9,30.7,1.93,38.3,142,4,27,177,0,35.2,Warning
SEG-00218,ERS-MAS,299.3,39.0,2.89,31.6,144,2,112,299,0,38.5,Warning
SEG-00219,MAS-NZM,125.6,32.3,1.62,38.1,146,5,136,108,0,33.0,Warning
SEG-00220,MAS-NZM,220.9,42.5,1.55,46.2,148,15,75,284,0,44.3,Warning
SEG-00221,MAS-NZM,250.2,42.5,1.44,52.7,151,19,154,301,0,48.4,Warning
SEG-00222,HYB-MAS,150.4,31.0,3.84,24.3,153,38,81,65,0,46.7,Warning
SEG-00223,ERS-MAS,107.3,36.1,0.79,45.0,158,15,140,306,0,43.0,Warning
SEG-00224,MAS-NZM,336.8,38.5,2.33,34.4,160,8,80,54,0,34.6,Warning
SEG-00225,TVC-LTT,337.6,41.2,2.42,29.3,162,20,157,307,0,44.7,Warning
SEG-00226,MAS-NZM-2,101.3,36.1,1.13,53.8,164,12,69,299,0,46.2,Warning
SEG-00227,MAS-NZM,167.9,35.9,0.94,49.2,166,4,167,320,0,41.8,Warning
SEG-00228,HYB-MAS,340.5,49.8,2.16,36.1,168,38,47,30,0,45.9,Warning
SEG-00229,MAS-CBE,1.7,31.0,2.68,37.1,170,39,161,246,0,54.3,Warning
SEG-00230,ERS-MAS,144.4,49.9,2.15,32.2,173,36,95,210,0,49.1,Warning
SEG-00231,HYB-MAS,35.2,31.1,2.34,34.8,175,15,27,221,0,43.2,Warning
SEG-00232,MAS-NZM,178.2,35.9,1.4,43.1,177,1,154,170,0,36.7,Warning
SEG-00233,ERS-MAS,8.6,39.9,1.49,47.6,179,31,24,343,0,54.7,Warning
SEG-00234,MAS-NZM-2,142.4,32.9,2.0,34.9,181,9,20,214,0,40.2,Warning
SEG-00235,MAS-NZM,77.2,32.7,1.8,42.9,183,23,130,322,0,50.7,Warning
SEG-00236,HYB-MAS,186.7,35.1,2.98,33.7,185,26,92,69,0,45.5,Warning
SEG-00237,MAS-SBC,348.6,49.4,1.9,38.7,188,39,125,234,0,53.6,Warning
SEG-00238,TVC-LTT,280.2,37.5,2.24,36.6,190,18,29,15,0,40.2,Warning
SEG-00239,MAS-CBE,296.0,41.1,1.31,50.3,193,33,84,134,0,51.2,Warning
SEG-00240,HYB-MAS,222.3,43.9,2.58,30.6,195,39,167,206,0,52.6,Warning
SEG-00241,ERS-MAS,14.5,44.7,1.0,51.6,197,14,77,24,0,40.9,Warning
SEG-00242,MAS-NZM,72.4,43.6,3.54,24.3,200,1,190,85,0,36.2,Warning
SEG-00243,TVC-LTT,323.8,36.6,1.05,58.8,202,13,176,142,1,71.8,High
SEG-00244,MAS-NZM,128.1,32.1,1.59,44.1,204,15,21,140,0,44.2,Warning
SEG-00245,ERS-MAS,36.3,35.5,1.32,49.1,206,37,173,324,0,58.6,High
SEG-00246,MAS-NZM,245.8,34.0,2.67,31.4,209,5,78,122,0,39.2,Warning
SEG-00247,MAS-SBC,104.8,32.5,2.43,33.5,212,14,124,300,0,47.7,Warning
SEG-00248,TVC-LTT,94.1,30.3,1.75,45.5,214,14,20,341,0,51.1,Warning
SEG-00249,TVC-LTT,349.3,48.6,1.13,56.8,216,5,50,179,1,70.4,High
SEG-00250,ERS-MAS,300.3,48.3,1.38,56.2,218,11,57,208,1,74.2,High
SEG-00251,MAS-CBE,142.8,30.9,2.88,32.7,0,32,41,166,0,35.1,Warning
SEG-00252,MAS-SBC,343.1,33.3,1.73,42.6,2,5,194,41,0,21.7,Safe
SEG-00253,HYB-MAS,227.5,32.6,2.63,35.8,5,36,20,122,0,36.1,Warning
SEG-00254,MAS-NZM,259.7,35.5,1.1,48.2,7,15,107,44,0,25.9,Safe
SEG-00255,MAS-NZM-2,11.0,33.9,2.01,37.9,9,7,197,75,0,23.1,Safe
SEG-00256,MAS-NZM,42.6,48.8,1.87,40.4,11,5,183,348,0,30.5,Warning
SEG-00257,MAS-NZM,221.6,31.6,0.95,63.0,13,30,192,272,0,42.9,Warning
SEG-00258,HYB-MAS,314.7,34.1,2.6,29.5,15,15,183,166,0,28.0,Safe
SEG-00259,MAS-NZM,218.3,31.6,1.83,37.9,17,30,181,250,0,36.6,Warning
SEG-00260,MAS-SBC,46.9,49.6,1.47,63.9,19,14,28,86,1,59.2,High
SEG-00261,MAS-SBC,40.5,48.4,2.06,49.1,22,24,129,137,0,36.2,Warning
SEG-00262,TVC-LTT,295.5,44.3,2.83,32.1,25,24,103,333,0,38.3,Warning
SEG-00263,ERS-MAS,48.8,38.5,3.31,26.8,27,35,151,39,0,34.2,Warning
SEG-00264,MAS-CBE,182.1,33.7,2.44,32.3,30,5,82,87,0,23.7,Safe
SEG-00265,MAS-NZM-2,13.0,34.4,1.29,47.5,33,12,151,155,0,30.2,Warning
SEG-00266,MAS-NZM,28.2,38.7,1.66,37.1,35,20,152,160,0,31.1,Warning
SEG-00267,MAS-NZM,235.3,45.2,1.58,43.7,37,5,157,64,0,25.0,Safe
SEG-00268,HYB-MAS,241.2,35.0,4.58,21.1,42,36,127,223,0,42.6,Warning
SEG-00269,ERS-MAS,119.5,36.0,3.68,24.8,44,21,191,362,0,39.5,Warning
SEG-00270,MAS-SBC,75.5,41.8,2.07,37.0,49,39,59,346,0,45.6,Warning
SEG-00271,MAS-NZM-2,284.8,34.6,2.05,39.6,51,3,55,146,0,27.6,Safe
SEG-00272,TVC-LTT,76.0,41.6,1.65,40.8,56,29,54,204,0,38.5,Warning
SEG-00273,MAS-SBC,189.7,37.7,1.84,40.4,59,25,78,67,0,34.0,Warning
SEG-00274,ERS-MAS,338.9,30.6,1.5,46.0,61,27,135,5,0,34.1,Warning
SEG-00275,MAS-CBE,51.7,38.0,2.82,28.5,63,36,50,59,0,37.0,Warning
SEG-00276,TVC-LTT,329.3,48.2,1.36,54.7,65,22,193,76,0,37.0,Warning
SEG-00277,MAS-CBE,64.0,35.7,3.39,26.6,67,38,68,260,0,44.7,Warning
SEG-00278,HYB-MAS,198.6,36.3,1.81,50.7,70,35,153,248,0,47.0,Warning
SEG-00279,HYB-MAS,132.0,31.2,2.63,29.4,75,1,125,16,0,23.4,Safe
SEG-00280,MAS-NZM,337.7,42.2,3.79,23.4,78,3,38,75,0,27.4,Safe
SEG-00281,MAS-CBE,95.7,46.9,1.68,43.7,80,24,115,356,0,43.8,Warning
